Actor/Actress	Movie	Year
Jean-Pierre Jeunet	Celluloid Dreams	2002
Stephen Quay	Celluloid Dreams	2002
Guy Maddin	Celluloid Dreams	2002
David Lynch	Great Directors	2009
Liliana Cavani	Great Directors	2009
Bernardo Bertolucci	Great Directors	2009
Catherine Breillat	Great Directors	2009
David Lynch	Harry Dean Stanton: Partly Fiction	2012
Harry Dean Stanton	Harry Dean Stanton: Partly Fiction	2012
Kris Kristofferson	Harry Dean Stanton: Partly Fiction	2012
Sam Shepard	Harry Dean Stanton: Partly Fiction	2012
Natalie Merchant	Paradise Is There	2015
Elizabeth Lesser	Paradise Is There	2015
Jennifer Turner	Paradise Is There	2015
Patricia Quinn	Fall from Innocence	1988
Thom Haverstock	Fall from Innocence	1988
Isabelle Mejias	Fall from Innocence	1988
Tom McDonald	Fall from Innocence	1988
Pandora Richardson	Fall from Innocence	1988
Patricia Quinn	The Strange Case of Delfina Potocka: The Mystery of Chopin	1999
Penelope Wilton	The Strange Case of Delfina Potocka: The Mystery of Chopin	1999
Corin Redgrave	The Strange Case of Delfina Potocka: The Mystery of Chopin	1999
John Shrapnel	The Strange Case of Delfina Potocka: The Mystery of Chopin	1999
Elizabeth McGorian	The Strange Case of Delfina Potocka: The Mystery of Chopin	1999
Paul Rhys	The Strange Case of Delfina Potocka: The Mystery of Chopin	1999
Valentina Igoshina	The Strange Case of Delfina Potocka: The Mystery of Chopin	1999
Patricia Quinn	Mary Horror	2011
M. Kelley	Mary Horror	2011
Susie Duecker	Mary Horror	2011
Shawn C. Phillips	Mary Horror	2011
Patricia Quinn	Zachariah	1971
Country Joe and the Fish	Zachariah	1971
Don Johnson	Zachariah	1971
John Rubinstein	Zachariah	1971
Patricia Quinn	The Outsider	1979
Craig Wasson	The Outsider	1979
Sterling Hayden	The Outsider	1979
Niall O'Brien	The Outsider	1979
Patricia Quinn	Shock Treatment	1981
Richard O'Brien	Shock Treatment	1981
Jessica Harper	Shock Treatment	1981
Patricia Quinn	Shoot Out	1971
Gregory Peck	Shoot Out	1971
Susan Tyrrell	Shoot Out	1971
Robert F. Lyons	Shoot Out	1971
James Broderick	The Tree	1969
Eileen Heckart	The Tree	1969
George Rose	The Tree	1969
Jordan Christopher	The Tree	1969
Christopher Swain	Source to Sea: The Columbia River Swim	2006
William Shatner	The Intruder	1962
Robert Emhardt	The Intruder	1962
Beverly Lunsford	The Intruder	1962
Frank Maxwell	The Intruder	1962
William Shatner	Incubus	1966
Allyson Ames	Incubus	1966
Eloise Hardt	Incubus	1966
William Shatner	Kingdom of the Spiders	1977
Woody Strode	Kingdom of the Spiders	1977
Lieux Dressler	Kingdom of the Spiders	1977
Tiffany Bolling	Kingdom of the Spiders	1977
William Shatner	Star Trek V: The Final Frontier	1989
DeForest Kelley	Star Trek V: The Final Frontier	1989
Leonard Nimoy	Star Trek V: The Final Frontier	1989
William Shatner	Shoot or Be Shot	2002
Scott Rinker	Shoot or Be Shot	2002
Julianne Christie	Shoot or Be Shot	2002
Harry Hamlin	Shoot or Be Shot	2002
Leonard Nimoy	Zambezia	2012
Abigail Breslin	Zambezia	2012
Jeff Goldblum	Zambezia	2012
Jeremy Suarez	Zambezia	2012
Leonard Nimoy	Deathwatch	1966
Michael Forest	Deathwatch	1966
Robert Ellenstein	Deathwatch	1966
Paul Mazursky	Deathwatch	1966
Leonard Nimoy	Minyan in Kaifeng	2001
Matt Trusch	Minyan in Kaifeng	2001
Leonard Nimoy	Star Trek VI: The Undiscovered Country	1991
DeForest Kelley	Star Trek VI: The Undiscovered Country	1991
Leonard Nimoy	The Prime Ministers: The Pioneers	2013
Sandra Bullock	The Prime Ministers: The Pioneers	2013
Michael Douglas	The Prime Ministers: The Pioneers	2013
DeForest Kelley	Night of the Lepus	1972
Stuart Whitman	Night of the Lepus	1972
Janet Leigh	Night of the Lepus	1972
Rory Calhoun	Night of the Lepus	1972
DeForest Kelley	Star Trek IV: The Voyage Home	1986
DeForest Kelley	Star Trek III: The Search for Spock	1984
DeForest Kelley	Variety Girl	1947
Frank Ferguson	Variety Girl	1947
Olga San Juan	Variety Girl	1947
Mary Hatcher	Variety Girl	1947
DeForest Kelley	Beyond Our Own	1947
Trudy Marshall	Beyond Our Own	1947
Charles Russell	Beyond Our Own	1947
Douglass Dumbrille	Beyond Our Own	1947
DeForest Kelley	Gunfight at Comanche Creek	1963
Ben Cooper	Gunfight at Comanche Creek	1963
Colleen Miller	Gunfight at Comanche Creek	1963
Audie Murphy	Gunfight at Comanche Creek	1963
DeForest Kelley	Fear in the Night	1947
Kay Scott	Fear in the Night	1947
Ann Doran	Fear in the Night	1947
Paul Kelly	Fear in the Night	1947
Richard Anderson	Deadfall Trail	2009
Cavin Gray	Deadfall Trail	2009
Shane Dean	Deadfall Trail	2009
Rosalie Michaels	Deadfall Trail	2009
Richard Anderson	Fable	2011
Aundre Caraway	Fable	2011
Stan Babola	Fable	2011
Lawrence Hervey	Fable	2011
Richard Anderson	Nowhere to Hide	2018
Lauri Hendler	Nowhere to Hide	2018
Colin Bird	Nowhere to Hide	2018
Judy Norton	Nowhere to Hide	2018
Richard Anderson	The Glass Shield	1994
Lori Petty	The Glass Shield	1994
Michael Boatman	The Glass Shield	1994
Erich Anderson	The Glass Shield	1994
Richard Anderson	Secret of Bigfoot	1980
Lee Majors	Secret of Bigfoot	1980
Stefanie Powers	Secret of Bigfoot	1980
Richard Anderson	The Deadbeats	2019
Helynn Castro	The Deadbeats	2019
Christopher Studenka	The Deadbeats	2019
Tori Osborn	The Deadbeats	2019
Morgan Jacobs	The Deadbeats	2019
Richard Anderson	When the World Breaks	2010
Kaine Alozie	When the World Breaks	2010
Buzz Aldrin	When the World Breaks	2010
Andrew Alozie	When the World Breaks	2010
Richard Anderson	Classic Hollywood Cinemas	2016
Edward Asner	Classic Hollywood Cinemas	2016
Jorge Ameer	Classic Hollywood Cinemas	2016
Lance Alspaugh	Classic Hollywood Cinemas	2016
Richard Anderson	The Cure	2014
Richard Anderson	Anatomy of a Film	2014
James B. Harris	Anatomy of a Film	2014
David Spodak	Anatomy of a Film	2014
Kirk Douglas	Anatomy of a Film	2014
Richard Kline	Knight to F4	2005
Dane Reade	Knight to F4	2005
Leland Burnett	Knight to F4	2005
Brenda Galilee Rhodes	Knight to F4	2005
William Shatner	A Christmas Horror Story	2015
George Buza	A Christmas Horror Story	2015
Zoe De Grand Maison	A Christmas Horror Story	2015
Rob Archer	A Christmas Horror Story	2015
William Shatner	Star Trek: Generations	1994
Malcolm McDowell	Star Trek: Generations	1994
William Shatner	Creators: The Past	2019
William Shatner	To Your Last Death	2019
Bill Moseley	To Your Last Death	2019
Morena Baccarin	To Your Last Death	2019
William Shatner	Mysteries of the Gods	1976
Robert Charroux	Mysteries of the Gods	1976
Jeane Dixon	Mysteries of the Gods	1976
Max H. Flindt	Mysteries of the Gods	1976
William Shatner	The Captains	2011
William Shatner	Stalking Santa	2006
Daryn Tufts	Stalking Santa	2006
Chris Clark	Stalking Santa	2006
Lisa Clark	Stalking Santa	2006
William Shatner	Free Enterprise	1998
Carl Bressler	Free Enterprise	1998
Eric McCormack	Free Enterprise	1998
Rafer Weigel	Free Enterprise	1998
William Shatner	The Third Walker	1978
Colleen Dewhurst	The Third Walker	1978
Leonard Nimoy	Carpati: 50 Miles, 50 Years	1996
Zev Godinger	Carpati: 50 Miles, 50 Years	1996
Leonard Nimoy	Armageddon: Target Earth	1998
Leonard Nimoy	The Story of Computer Graphics	1999
Craig Barnett	The Story of Computer Graphics	1999
Leonard Nimoy	Titanica	1992
Steven Biel	Titanica	1992
Steve Blasco	Titanica	1992
Daniel Allen Butler	Titanica	1992
Leonard Nimoy	Hava Nagila: The Movie	2012
Glen Campbell	Hava Nagila: The Movie	2012
Harry Belafonte	Hava Nagila: The Movie	2012
Regina Spektor	Hava Nagila: The Movie	2012
Leonard Nimoy	Rashi: A Light After the Dark Ages	1999
Leonard Nimoy	My Brother Vincent	2018
Jean-Michel Richaud	My Brother Vincent	2018
Courtnee Draper	The Immaculate Misconception	2006
Joe Perrino	The Immaculate Misconception	2006
Caprice Benedetti	The Immaculate Misconception	2006
Courtnee Draper	The Prodigy	2009
Joy Michele	The Prodigy	2009
Robby Daniels	The Prodigy	2009
Rhiann Woodyard	The Prodigy	2009
Ray Hanna	The Prodigy	2009
Jeffrey Lee Hollis	The Prodigy	2009
Patrick Pumpuang	The Prodigy	2009
John Neville	A Study in Terror	1965
John Fraser	A Study in Terror	1965
Anthony Quayle	A Study in Terror	1965
Donald Houston	A Study in Terror	1965
John Neville	Dinner at Fred's	1997
Gil Bellows	Dinner at Fred's	1997
Parker Posey	Dinner at Fred's	1997
Kevin McDonald	Dinner at Fred's	1997
John Neville	Oscar Wilde	1960
Phyllis Calvert	Oscar Wilde	1960
Ralph Richardson	Oscar Wilde	1960
Robert Morley	Oscar Wilde	1960
John Neville	The Adventures of Baron Munchausen	1988
John Neville	Moving Malcolm	2003
Benjamin Ratner	Moving Malcolm	2003
Elizabeth Berkley	Moving Malcolm	2003
Jay Brazeau	Moving Malcolm	2003
John Neville	Unearthly Stranger	1963
Patrick Newell	Unearthly Stranger	1963
Philip Stone	Unearthly Stranger	1963
Gabriella Licudi	Unearthly Stranger	1963
John Neville	The X Files	1998
John Neville	Water Damage	1999
Leslie Hope	Water Damage	1999
Sean Connery	Shalako	1968
Stephen Boyd	Shalako	1968
Brigitte Bardot	Shalako	1968
Sean Connery	Playing by Heart	1998
Ellen Burstyn	Playing by Heart	1998
Anthony Edwards	Playing by Heart	1998
Gillian Anderson	Playing by Heart	1998
Sean Connery	Franco Cristaldi e il suo cinema Paradiso	2009
Marco Bellocchio	Franco Cristaldi e il suo cinema Paradiso	2009
Suso Cecchi D'Amico	Franco Cristaldi e il suo cinema Paradiso	2009
Giuliano Gemma	Franco Cristaldi e il suo cinema Paradiso	2009
Sean Connery	Never Say Never Again	1983
Kim Basinger	Never Say Never Again	1983
Max von Sydow	Never Say Never Again	1983
Klaus Maria Brandauer	Never Say Never Again	1983
Christian Slater	Who Is Cletis Tout?	2001
Portia de Rossi	Who Is Cletis Tout?	2001
Tim Allen	Who Is Cletis Tout?	2001
Richard Dreyfuss	Who Is Cletis Tout?	2001
Christian Slater	Beyond the Stars	1989
Martin Sheen	Beyond the Stars	1989
Sharon Stone	Beyond the Stars	1989
Robert Foxworth	Beyond the Stars	1989
Helmut Qualtinger	Lumpazivagabundus	1965
Helmut Qualtinger	Abelard	1977
Anita Mally	Abelard	1977
Christian Kohlund	Abelard	1977
Susanne Uhlen	Abelard	1977
Helmut Qualtinger	Tales from the Vienna Woods	1979
Birgit Doll	Tales from the Vienna Woods	1979
Helmut Qualtinger	Grandison	1979
Marlene Jobert	Grandison	1979
Helmut Qualtinger	Der Paukenspieler	1967
Hans Kraus	Der Paukenspieler	1967
Helmuth Lohner	Der Paukenspieler	1967
Eric P. Caspar	Der Paukenspieler	1967
Helmut Qualtinger	Das Diarium des Dr. Doblinger	1986
Vera Borek	Das Diarium des Dr. Doblinger	1986
Toni Bohm	Das Diarium des Dr. Doblinger	1986
Rudolf Wessely	Das Diarium des Dr. Doblinger	1986
Helmut Qualtinger	Krankensaal 6	1974
Willy Leyrer	Krankensaal 6	1974
Stefan Wigger	Krankensaal 6	1974
Zalman Lebiush	Krankensaal 6	1974
Helmut Qualtinger	Mann im Schatten	1961
Ellen Schwiers	Mann im Schatten	1961
Barbara Frey	Mann im Schatten	1961
Katharina Mayberg	Mann im Schatten	1961
Jim Beaver	Dark and Stormy Night	2009
Bob Burns	Dark and Stormy Night	2009
Jennifer Blaire	Dark and Stormy Night	2009
Larry Blamire	Dark and Stormy Night	2009
Jim Beaver	Twogether	1992
Jeremy Piven	Twogether	1992
Nick Cassavetes	Twogether	1992
Brenda Bakke	Twogether	1992
Jim Beaver	Cooties	2007
Melinda Hall	Cooties	2007
Jim Beaver	Remember the Sultana	2018
Sean Astin	Remember the Sultana	2018
Ray Appleton	Remember the Sultana	2018
Mackenzie Astin	Remember the Sultana	2018
Jim Beaver	Ah! Silenciosa	1999
Alberto Tejada	Ah! Silenciosa	1999
Carlos Roberto Majul	Ah! Silenciosa	1999
Ana Sobero	Ah! Silenciosa	1999
Jim Beaver	Billy Boy	2017
Aramis Knight	Billy Boy	2017
Melissa Benoist	Billy Boy	2017
Greg Germann	Billy Boy	2017
Jim Beaver	The Frontier	2015
Izabella Miko	The Frontier	2015
Lisa Arturo	One More Round	2005
Tony Amendola	One More Round	2005
Jenna Bailey	One More Round	2005
James Black	One More Round	2005
Lisa Arturo	Border to Border	1998
Curtis Armstrong	Border to Border	1998
Ran Barker	Border to Border	1998
Wendy Baker	Border to Border	1998
Lisa Arturo	Stripped Down	2006
Mel Braxton	Stripped Down	2006
Shelley Andagan	Stripped Down	2006
Bre Blair	Stripped Down	2006
James Avery	The Guerrero Project	2004
James Avery	The Grind	2010
Graham Beckel	The Grind	2010
Christopher Amitrano	The Grind	2010
Tara Buck	The Grind	2010
James Avery	Restraining Order	2006
N'Bushe Wright	Restraining Order	2006
James Avery	Antonia Pantoja Presente!	2008
Kathy Najimy	Antonia Pantoja Presente!	2008
James Avery	Chasing Sunsets	2001
Alaina Reed-Hall	Chasing Sunsets	2001
Lucy Goncalves	Chasing Sunsets	2001
Scott Robinson	Chasing Sunsets	2001
James Avery	Directors on Directing 2: The Story of the Storytellers	2008
Jim Brown	Directors on Directing 2: The Story of the Storytellers	2008
Charles Burnett	Directors on Directing 2: The Story of the Storytellers	2008
Ben Caldwell	Directors on Directing 2: The Story of the Storytellers	2008
James Avery	Dancing in September	2000
Tichina Arnold	Dancing in September	2000
James Avery	After Romeo	1999
Garrett Brawith	After Romeo	1999
Peter Alsop	After Romeo	1999
Susan Angelo	After Romeo	1999
James Avery	Honeybee	2001
Pierre Perea	Honeybee	2001
Senait Ashenafi	Honeybee	2001
Antwan Mills	Honeybee	2001
Mike Starr	Making a Killing	2018
Jude Moran	Making a Killing	2018
Mike Starr	Man with Van	2017
Laura Fraser	Man with Van	2017
Ursula Parker	Man with Van	2017
Mike Starr	ThE F3aR	2018
Peter Evangelista	ThE F3aR	2018
Saul Stein	ThE F3aR	2018
Joe Blute	ThE F3aR	2018
Mike Starr	Dumb and Dumber	1994
Jeff Daniels	Dumb and Dumber	1994
Lauren Holly	Dumb and Dumber	1994
Mike Starr	Mancation	2012
Matt Kawczynski	Mancation	2012
Danica McKellar	Mancation	2012
Mike Starr	Tempted	2001
Burt Reynolds	Tempted	2001
Saffron Burrows	Tempted	2001
Randy Austin	Tempted	2001
Mike Starr	Walk a Mile in My Pradas	2011
Tom Arnold	Walk a Mile in My Pradas	2011
Tom Archdeacon	Walk a Mile in My Pradas	2011
Nathaniel Marston	Walk a Mile in My Pradas	2011
Paul Herman	Terrified	1995
Lisa Zane	Terrified	1995
John Cusack	Breakfast with Hunter	2003
Alex Cox	Breakfast with Hunter	2003
Douglas Brinkley	Breakfast with Hunter	2003
John Cusack	Pushing Tin	1999
Billy Bob Thornton	Pushing Tin	1999
Cate Blanchett	Pushing Tin	1999
Angelina Jolie	Pushing Tin	1999
John Cusack	The Journey of Natty Gann	1985
Meredith Salenger	The Journey of Natty Gann	1985
Lainie Kazan	The Journey of Natty Gann	1985
Ray Wise	The Journey of Natty Gann	1985
John Cusack	1408	2007
Tony Shalhoub	1408	2007
Samuel L. Jackson	1408	2007
Mary McCormack	1408	2007
John Cusack	One Crazy Summer	1986
Linda Warren	One Crazy Summer	1986
Demi Moore	One Crazy Summer	1986
Joel Murray	One Crazy Summer	1986
Chazz Palminteri	The Oogieloves in the Big Balloon Adventure	2012
Jaime Pressly	The Oogieloves in the Big Balloon Adventure	2012
Cloris Leachman	The Oogieloves in the Big Balloon Adventure	2012
Christopher Lloyd	The Oogieloves in the Big Balloon Adventure	2012
Chazz Palminteri	Final Recourse	2013
Teri Polo	Final Recourse	2013
Lucas Elliot Eberl	Final Recourse	2013
Tia Carrere	Final Recourse	2013
Jennifer Tilly	Ball in the House	2001
Jennifer Tilly	Saint Ralph	2004
Michael Kanev	Saint Ralph	2004
Adam Butcher	Saint Ralph	2004
Jennifer Tilly	Pass the Sugar	2009
Mike Matusow	Pass the Sugar	2009
Jose Canseco	Pass the Sugar	2009
Mike Sexton	Pass the Sugar	2009
Joe Hachem	Pass the Sugar	2009
James Woods	Pass the Sugar	2009
Robert Davi	The Dukes	2007
Frank D'Amico	The Dukes	2007
Peter Bogdanovich	The Dukes	2007
Robert Davi	Cyber Vengeance	1997
J. Gregory Smith	Cyber Vengeance	1997
Josh Mosby	Cyber Vengeance	1997
Matthias Hues	Cyber Vengeance	1997
Jack Palance	The Lonely Man	1957
Neville Brand	The Lonely Man	1957
Anthony Perkins	The Lonely Man	1957
Robert Middleton	The Lonely Man	1957
Jack Palance	Battle of the Commandos	1969
Thomas Hunter	Battle of the Commandos	1969
Jack Palance	Attack	1956
Robert Strauss	Attack	1956
Lee Marvin	Attack	1956
Eddie Albert	Attack	1956
Jack Palance	The Spy in the Green Hat	1967
Janet Leigh	The Spy in the Green Hat	1967
Robert Vaughn	The Spy in the Green Hat	1967
David McCallum	The Spy in the Green Hat	1967
Jack Palance	Hawk the Slayer	1980
Bernard Bresslaw	Hawk the Slayer	1980
Ray Charleson	Hawk the Slayer	1980
John Terry	Hawk the Slayer	1980
Chevy Chase	Wishin' and Hopin'	2014
Annabella Sciorra	Wishin' and Hopin'	2014
Conchata Ferrell	Wishin' and Hopin'	2014
Molly Ringwald	Wishin' and Hopin'	2014
Chevy Chase	Nothing But Trouble	1991
Anthony Michael Hall	Exit in Red	1996
Hank Garrett	Exit in Red	1996
Annabel Schofield	Exit in Red	1996
Mickey Rourke	Exit in Red	1996
Anthony Michael Hall	The Photographer	2000
Reg Rogers	The Photographer	2000
Marisa Berenson	The Photographer	2000
Anthony Michael Hall	Aftermath	2013
Tony Danza	Aftermath	2013
Jamie Harrold	Aftermath	2013
Chris Penn	Aftermath	2013
Winona Ryder	Little Women	1994
Kirsten Dunst	Little Women	1994
Claire Danes	Little Women	1994
Winona Ryder	The House of the Spirits	1993
Jeremy Irons	The House of the Spirits	1993
Meryl Streep	The House of the Spirits	1993
Antonio Banderas	The House of the Spirits	1993
Winona Ryder	Welcome Home, Roxy Carmichael	1990
Laila Robins	Welcome Home, Roxy Carmichael	1990
Jeff Daniels	Welcome Home, Roxy Carmichael	1990
Winona Ryder	Homefront	2013
Brenda Jo Reutebuch	Homefront	2013
Jason Statham	Homefront	2013
Timothy Paul Taylor	Homefront	2013
James Franco	Homefront	2013
Michael Loos	Homefront	2013
Kate Bosworth	Homefront	2013
Johnny Depp	Alice Through the Looking Glass	2016
Mia Wasikowska	Alice Through the Looking Glass	2016
Helena Bonham Carter	Alice Through the Looking Glass	2016
Anne Hathaway	Alice Through the Looking Glass	2016
Johnny Depp	From Hell	2001
Ian Holm	From Hell	2001
Robbie Coltrane	From Hell	2001
Heather Graham	From Hell	2001
Johnny Depp	Private Resort	1985
Emily Longstreth	Private Resort	1985
Rob Morrow	Private Resort	1985
Johnny Depp	Rango	2011
Timothy Olyphant	Rango	2011
Isla Fisher	Rango	2011
Abigail Breslin	Rango	2011
Johnny Depp	Pirates of the Caribbean: At World's End	2007
Johnny Depp	Hope and Healing Award Concert	2016
Dave Kushner	Hope and Healing Award Concert	2016
Dave Navarro	Hope and Healing Award Concert	2016
Chester Bennington	Hope and Healing Award Concert	2016
Mark McGrath	Hope and Healing Award Concert	2016
Johnny Depp	The Libertine	2004
Johnny Depp	Benny & Joon	1993
Aidan Quinn	Benny & Joon	1993
Julianne Moore	Benny & Joon	1993
Mary Stuart Masterson	Benny & Joon	1993
Emily Lloyd	When Saturday Comes	1996
Pete Postlethwaite	When Saturday Comes	1996
Craig Kelly	When Saturday Comes	1996
Sean Bean	When Saturday Comes	1996
Emily Lloyd	Under the Hula Moon	1995
Chris Penn	Under the Hula Moon	1995
Musetta Vander	Under the Hula Moon	1995
Stephen Baldwin	Under the Hula Moon	1995
Emily Lloyd	Chicago Joe and the Showgirl	1990
Kiefer Sutherland	Chicago Joe and the Showgirl	1990
Liz Fraser	Chicago Joe and the Showgirl	1990
John Lahr	Chicago Joe and the Showgirl	1990
Emily Lloyd	Wish You Were Here	1987
Barbara Durkin	Wish You Were Here	1987
Clare Clifford	Wish You Were Here	1987
Trudi Cavanagh	Wish You Were Here	1987
Emily Lloyd	Woundings	1998
Charlie Creed-Miles	Woundings	1998
Sammi Davis	Woundings	1998
Emily Lloyd	The Honeytrap	2002
Stuart McQuarrie	The Honeytrap	2002
Anthony Green	The Honeytrap	2002
Emily Lloyd	Scorchers	1991
Faye Dunaway	Scorchers	1991
James Earl Jones	Scorchers	1991
Denholm Elliott	Scorchers	1991
Emily Lloyd	In Country	1989
Bruce Willis	In Country	1989
Kevin Anderson	In Country	1989
Joan Allen	In Country	1989
Peter Falk	Lakeboat	2000
Charles Durning	Lakeboat	2000
Denis Leary	Lakeboat	2000
Robert Forster	Lakeboat	2000
Peter Falk	The Secret of the Purple Reef	1960
Margia Dean	The Secret of the Purple Reef	1960
Jeff Richards	The Secret of the Purple Reef	1960
Richard Chamberlain	The Secret of the Purple Reef	1960
Peter Falk	The Thing About My Folks	2005
Elizabeth Perkins	The Thing About My Folks	2005
Paul Reiser	The Thing About My Folks	2005
Olympia Dukakis	The Thing About My Folks	2005
Peter Falk	Cops n Roberts	1995
Arlene Golonka	Cops n Roberts	1995
Priscilla Barnes	Cops n Roberts	1995
Don Calfa	Cops n Roberts	1995
Stephen Furst	Cops n Roberts	1995
Dody Goodman	Cops n Roberts	1995
Herb Edelman	Cops n Roberts	1995
Peter Falk	Faraway, So Close!	1993
Otto Sander	Faraway, So Close!	1993
Bruno Ganz	Faraway, So Close!	1993
Horst Buchholz	Faraway, So Close!	1993
Peter Falk	Mikey and Nicky	1976
Michael V. Gazzo	Border Cop	1980
Eddie Albert	Border Cop	1980
Telly Savalas	Border Cop	1980
Danny De La Paz	Border Cop	1980
Michael V. Gazzo	Fingers	1978
Harvey Keitel	Fingers	1978
Jim Brown	Fingers	1978
Tisa Farrow	Fingers	1978
Michael V. Gazzo	Alligator	1980
Dean Jagger	Alligator	1980
Robert Forster	Alligator	1980
Robin Riker	Alligator	1980
Michael V. Gazzo	Nothing to Lose	1994
Paul Gleason	Nothing to Lose	1994
Youssef Abed-Alnour	Nothing to Lose	1994
Alexandra Paul	Nothing to Lose	1994
David Campbell	Nothing to Lose	1994
Juliano Mer-Khamis	Nothing to Lose	1994
Diane Keaton	Marvin's Room	1996
Robert De Niro	Marvin's Room	1996
Leonardo DiCaprio	Marvin's Room	1996
Diane Keaton	Manhattan	1979
Michael Murphy	Manhattan	1979
Mariel Hemingway	Manhattan	1979
Woody Allen	Manhattan	1979
Diane Keaton	The Only Thrill	1997
Sam Shepard	The Only Thrill	1997
Robert Patrick	The Only Thrill	1997
Diane Lane	The Only Thrill	1997
Diane Keaton	Town & Country	2001
Warren Beatty	Town & Country	2001
Nastassja Kinski	Town & Country	2001
Goldie Hawn	Town & Country	2001
Diane Keaton	Harry and Walter Go to New York	1976
James Caan	Harry and Walter Go to New York	1976
Elliott Gould	Harry and Walter Go to New York	1976
Michael Caine	Harry and Walter Go to New York	1976
Diane Keaton	I Will... I Will... For Now	1976
Elliott Gould	I Will... I Will... For Now	1976
Diane Keaton	Annie Hall	1977
Tony Roberts	Annie Hall	1977
Carol Kane	Annie Hall	1977
Woody Allen	Annie Hall	1977
Diane Keaton	The Godfather Part III	1990
Andy Garcia	The Godfather Part III	1990
Al Pacino	The Godfather Part III	1990
Diane Keaton	Baby Boom	1987
Kristina Kennedy	Baby Boom	1987
Harold Ramis	Baby Boom	1987
Sam Shepard	Baby Boom	1987
Kevin Kline	The Conspirator	2010
Robin Wright	The Conspirator	2010
Tom Wilkinson	The Conspirator	2010
James McAvoy	The Conspirator	2010
Kevin Kline	A Midsummer Night's Dream	1999
Michelle Pfeiffer	A Midsummer Night's Dream	1999
Rupert Everett	A Midsummer Night's Dream	1999
Kevin Kline	Cry Freedom	1987
Richard Jenkins	The Mudge Boy	2003
Pablo Schreiber	The Mudge Boy	2003
Tom Guiry	The Mudge Boy	2003
Emile Hirsch	The Mudge Boy	2003
Richard Jenkins	Bone Tomahawk	2015
Patrick Wilson	Bone Tomahawk	2015
Matthew Fox	Bone Tomahawk	2015
Kurt Russell	Bone Tomahawk	2015
Richard Jenkins	Eddie	1996
Frank Langella	Eddie	1996
Whoopi Goldberg	Eddie	1996
Dennis Farina	Eddie	1996
Richard Jenkins	Untitled Miranda July Project	2019
Gina Rodriguez	Untitled Miranda July Project	2019
Diana Maria Riva	Untitled Miranda July Project	2019
Evan Rachel Wood	Untitled Miranda July Project	2019
Richard Jenkins	The Hollars	2016
Richard Jenkins	Dear John	2010
Henry Thomas	Dear John	2010
Channing Tatum	Dear John	2010
Amanda Seyfried	Dear John	2010
Richard Jenkins	The Indian in the Cupboard	1995
Litefoot	The Indian in the Cupboard	1995
Richard Jenkins	A Goldfish of the Flame	2010
Derek Deadman	A Goldfish of the Flame	2010
Tony Devon	A Goldfish of the Flame	2010
Richard Jenkins	Lullaby	2014
Anne Archer	Lullaby	2014
Jessica Brown Findlay	Lullaby	2014
Garrett Hedlund	Lullaby	2014
Teyonah Parris	Chi-Raq	2015
Angela Bassett	Chi-Raq	2015
Teyonah Parris	Where Children Play	2015
Macy Gray	Where Children Play	2015
Leon	Where Children Play	2015
Brian White	Where Children Play	2015
Teyonah Parris	A Picture of You	2013
Andrew Pang	A Picture of You	2013
Jo Mei	A Picture of You	2013
Lucas Dixon	A Picture of You	2013
Teyonah Parris	Dear White People	2014
Kyle Gallner	Dear White People	2014
Tyler James Williams	Dear White People	2014
Tessa Thompson	Dear White People	2014
Teyonah Parris	Love Under New Management: The Miki Howard Story	2016
Gary Dourdan	Love Under New Management: The Miki Howard Story	2016
Amari Cheatom	Love Under New Management: The Miki Howard Story	2016
Darius McCrary	Love Under New Management: The Miki Howard Story	2016
Teyonah Parris	If Beale Street Could Talk	2018
Regina King	If Beale Street Could Talk	2018
Rosie Perez	The Hero of Color City	2014
Rosie Perez	Fearless	1993
Tom Hulce	Fearless	1993
Isabella Rossellini	Fearless	1993
Jeff Bridges	Fearless	1993
Rosie Perez	King of the Jungle	2000
Julie Carmen	King of the Jungle	2000
John Leguizamo	King of the Jungle	2000
Cliff Gorman	King of the Jungle	2000
Rosie Perez	The Take	2007
Rosie Perez	The 24 Hour Woman	1999
Patti LuPone	The 24 Hour Woman	1999
Karen Duffy	The 24 Hour Woman	1999
Marianne Jean-Baptiste	The 24 Hour Woman	1999
Rosie Perez	It Could Happen to You	1994
Nicolas Cage	It Could Happen to You	1994
Bridget Fonda	It Could Happen to You	1994
Wendell Pierce	It Could Happen to You	1994
Rosie Perez	Fugly!	2014
Radha Mitchell	Fugly!	2014
Griffin Dunne	Fugly!	2014
John Leguizamo	Fugly!	2014
Rosie Perez	Untamed Heart	1993
Marisa Tomei	Untamed Heart	1993
Kyle Secor	Untamed Heart	1993
Rosie Perez	Dance with the Devil	1997
Rosario Dawson	Unforgettable	2017
Isabella Kai	Unforgettable	2017
Katherine Heigl	Unforgettable	2017
Rosario Dawson	Trance	2013
Vincent Cassel	Trance	2013
Danny Sapani	Trance	2013
Rosario Dawson	Alexander	2004
Colin Farrell	Alexander	2004
Anthony Hopkins	Alexander	2004
Angelina Jolie	Alexander	2004
Rosario Dawson	The First $20 Million Is Always the Hardest	2002
Jake Busey	The First $20 Million Is Always the Hardest	2002
Enrico Colantoni	The First $20 Million Is Always the Hardest	2002
Adam Garcia	The First $20 Million Is Always the Hardest	2002
Rosario Dawson	Light It Up	1999
